date,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST,foreAdjustFactor,factor,adjustFactor,vwap,code
2023-12-07,3394.3064,3404.4074,3369.7675,3391.2823,3399.598,9771324800.0,160949948197.3,0.0,1.0,-0.244608,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.471660853736026,SH000300
2023-12-08,3391.8585,3409.3845,3383.4479,3399.4618,3391.2823,12952205400.0,203034222561.1,0.422835,1.0,0.241192,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.675648763344967,SH000300
2023-12-11,3378.0517,3426.6106,3346.8902,3419.4548,3399.4618,13962624900.0,219761181423.1,0.45177,1.0,0.588123,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.739245521313117,SH000300
2023-12-12,3409.9976,3427.5456,3406.1013,3426.803,3419.4548,10559001300.0,166979964779.7,0.280559,1.0,0.214894,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.8139922550914,SH000300
2023-12-13,3418.6413,3418.6413,3369.605,3369.605,3426.803,9528536700.0,165455928375.6,0.308301,1.0,-1.669136,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.364253671353335,SH000300
2023-12-14,3387.3847,3399.1394,3350.7648,3351.9639,3369.605,8365513500.0,150245775736.4,0.27067,1.0,-0.523536,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.960137860801968,SH000300
2023-12-15,3365.9388,3388.5047,3339.519,3341.5517,3351.9639,9778778300.0,164907019372.1,0.316394,1.0,-0.31063,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.86376501368274,SH000300
2023-12-18,3329.191,3352.3458,3314.9095,3329.3657,3341.5517,9052682600.0,142303319418.9,0.292901,1.0,-0.364681,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.719464130875416,SH000300
2023-12-19,3325.6596,3345.7795,3313.1874,3334.0412,3329.3657,8380811800.0,135293655396.1,0.271162,1.0,0.140432,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.143263758303224,SH000300
2023-12-20,3334.332,3338.5434,3297.3652,3297.5022,3334.0412,9241286800.0,141290542802.3,0.29898,1.0,-1.095937,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.28905506993896,SH000300
2023-12-21,3285.6049,3339.3552,3283.9883,3330.8698,3297.5022,10254619800.0,171120780579.5,0.331773,1.0,1.011905,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.687189180772943,SH000300
2023-12-22,3329.4668,3359.0601,3315.8976,3337.2281,3330.8698,10522013300.0,167336342309.2,0.340424,1.0,0.19089,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.903452841026157,SH000300
2023-12-25,3330.3333,3348.882,3330.3333,3347.4508,3337.2281,7454269300.0,121838327071.1,0.241154,1.0,0.306323,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.344771320657816,SH000300
2023-12-26,3345.3952,3345.4171,3315.937,3324.7902,3347.4508,7473293500.0,121689997434.6,0.241769,1.0,-0.676951,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.28331570740531,SH000300
2023-12-27,3326.9267,3341.2659,3309.6731,3336.3572,3324.7902,9440392800.0,140924923674.8,0.305455,1.0,0.347902,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.927866526358944,SH000300
2023-12-28,3335.5572,3423.4018,3331.2082,3414.5403,3336.3572,14806485100.0,245855634464.3,0.479081,1.0,2.343367,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.604591353305047,SH000300
2023-12-29,3411.1094,3432.5412,3409.5795,3431.1099,3414.5403,11492893200.0,193573180515.1,0.371867,1.0,0.485266,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.842859073562085,SH000300
2024-01-02,3426.2684,3426.2684,3386.3522,3386.3522,3431.1099,11618072600.0,184096097448.7,0.375897,1.0,-1.304467,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.845665953981042,SH000300
